property_id,check_in_date,room_category,successful_bookings,capacity,Key
16559,01-May-22,RT1,25,30,1655944682RT1
19562,01-May-22,RT1,28,30,1956244682RT1
19563,01-May-22,RT1,23,30,1956344682RT1
17558,01-May-22,RT1,13,19,1755844682RT1
16558,01-May-22,RT1,18,19,1655844682RT1
17560,01-May-22,RT1,28,40,1756044682RT1
19558,01-May-22,RT1,25,40,1955844682RT1
19560,01-May-22,RT1,23,26,1956044682RT1
17561,01-May-22,RT1,22,26,1756144682RT1
16560,01-May-22,RT1,24,34,1656044682RT1
16561,01-May-22,RT1,16,18,1656144682RT1
16562,01-May-22,RT1,20,31,1656244682RT1
16563,01-May-22,RT1,36,41,1656344682RT1
17559,01-May-22,RT1,26,32,1755944682RT1
17562,01-May-22,RT1,12,20,1756244682RT1
17563,01-May-22,RT1,21,25,1756344682RT1
18558,01-May-22,RT1,11,15,1855844682RT1
18559,01-May-22,RT1,29,42,1855944682RT1
18561,01-May-22,RT1,31,33,1856144682RT1
18562,01-May-22,RT1,34,38,1856244682RT1
18563,01-May-22,RT1,18,27,1856344682RT1
19559,01-May-22,RT1,18,24,1955944682RT1
19561,01-May-22,RT1,25,36,1956144682RT1
17564,01-May-22,RT1,9,16,1756444682RT1
19562,01-May-22,RT2,23,23,1956244682RT2
18563,01-May-22,RT2,21,29,1856344682RT2
17561,01-May-22,RT2,32,36,1756144682RT2
17558,01-May-22,RT2,38,50,1755844682RT2
16562,01-May-22,RT2,30,43,1656244682RT2
16561,01-May-22,RT2,24,24,1656144682RT2
16558,01-May-22,RT2,21,22,1655844682RT2
19560,01-May-22,RT2,37,38,1956044682RT2
16563,01-May-22,RT2,37,38,1656344682RT2
16559,01-May-22,RT2,35,41,1655944682RT2
19559,01-May-22,RT2,32,41,1955944682RT2
19558,01-May-22,RT2,25,39,1955844682RT2
17559,01-May-22,RT2,34,39,1755944682RT2
16560,01-May-22,RT2,25,34,1656044682RT2
18562,01-May-22,RT2,33,34,1856244682RT2
18559,01-May-22,RT2,29,44,1855944682RT2
17563,01-May-22,RT2,40,44,1756344682RT2
17562,01-May-22,RT2,19,30,1756244682RT2
18558,01-May-22,RT2,21,30,1855844682RT2
17564,01-May-22,RT2,25,40,1756444682RT2
18561,01-May-22,RT2,35,40,1856144682RT2
18560,01-May-22,RT2,34,40,1856044682RT2
17560,01-May-22,RT2,31,45,1756044682RT2
19561,01-May-22,RT2,35,45,1956144682RT2
19563,01-May-22,RT2,36,45,1956344682RT2
19563,01-May-22,RT3,20,29,1956344682RT3
18560,01-May-22,RT1,27,30,1856044682RT1
19562,01-May-22,RT3,25,29,1956244682RT3
19561,01-May-22,RT3,23,29,1956144682RT3
18562,01-May-22,RT3,28,29,1856244682RT3
17558,01-May-22,RT3,21,27,1755844682RT3
17562,01-May-22,RT3,15,27,1756244682RT3
19559,01-May-22,RT3,19,27,1955944682RT3
16559,01-May-22,RT3,27,32,1655944682RT3
17560,01-May-22,RT3,19,25,1756044682RT3
18561,01-May-22,RT3,23,25,1856144682RT3
16561,01-May-22,RT3,21,21,1656144682RT3
16563,01-May-22,RT3,17,20,1656344682RT3
17561,01-May-22,RT3,16,19,1756144682RT3
18558,01-May-22,RT3,18,26,1855844682RT3
18560,01-May-22,RT3,21,24,1856044682RT3
18563,01-May-22,RT3,16,23,1856344682RT3
19560,01-May-22,RT3,16,19,1956044682RT3
17564,01-May-22,RT3,16,24,1756444682RT3
16560,01-May-22,RT3,15,20,1656044682RT3
16558,01-May-22,RT3,8,8,1655844682RT3
19558,01-May-22,RT3,13,21,1955844682RT3
16562,01-May-22,RT3,14,18,1656244682RT3
17559,01-May-22,RT3,14,16,1755944682RT3
17563,01-May-22,RT3,14,16,1756344682RT3
18559,01-May-22,RT3,14,23,1855944682RT3
19559,01-May-22,RT4,2,3,1955944682RT4
16562,01-May-22,RT4,4,6,1656244682RT4
17558,01-May-22,RT4,4,6,1755844682RT4
17562,01-May-22,RT4,4,6,1756244682RT4
19563,01-May-22,RT4,4,6,1956344682RT4
19558,01-May-22,RT4,4,7,1955844682RT4
19561,01-May-22,RT4,5,7,1956144682RT4
16560,01-May-22,RT4,6,7,1656044682RT4
16561,01-May-22,RT4,9,10,1656144682RT4
17560,01-May-22,RT4,10,13,1756044682RT4
18561,01-May-22,RT4,8,9,1856144682RT4
17564,01-May-22,RT4,9,17,1756444682RT4
18560,01-May-22,RT4,14,15,1856044682RT4
19560,01-May-22,RT4,15,16,1956044682RT4
18559,01-May-22,RT4,11,19,1855944682RT4
17563,01-May-22,RT4,17,19,1756344682RT4
19562,01-May-22,RT4,13,14,1956244682RT4
17559,01-May-22,RT4,13,14,1755944682RT4
18558,01-May-22,RT4,14,20,1855844682RT4
18562,01-May-22,RT4,19,20,1856244682RT4
18563,01-May-22,RT4,13,18,1856344682RT4
16563,01-May-22,RT4,17,18,1656344682RT4
16559,01-May-22,RT4,17,18,1655944682RT4
17561,01-May-22,RT4,3,4,1756144682RT4
16558,01-May-22,RT4,3,3,1655844682RT4
16559,02-May-22,RT1,20,30,1655944683RT1
18560,02-May-22,RT1,21,30,1856044683RT1
19562,02-May-22,RT1,20,30,1956244683RT1
19563,02-May-22,RT1,14,30,1956344683RT1
17558,02-May-22,RT1,10,19,1755844683RT1
16558,02-May-22,RT1,12,19,1655844683RT1
17560,02-May-22,RT1,22,40,1756044683RT1
19558,02-May-22,RT1,16,40,1955844683RT1
19560,02-May-22,RT1,14,26,1956044683RT1
17561,02-May-22,RT1,15,26,1756144683RT1
16560,02-May-22,RT1,17,34,1656044683RT1
16561,02-May-22,RT1,11,18,1656144683RT1
16562,02-May-22,RT1,17,31,1656244683RT1
16563,02-May-22,RT1,25,41,1656344683RT1
17559,02-May-22,RT1,20,32,1755944683RT1
17562,02-May-22,RT1,9,20,1756244683RT1
17563,02-May-22,RT1,15,25,1756344683RT1
18558,02-May-22,RT1,8,15,1855844683RT1
18559,02-May-22,RT1,17,42,1855944683RT1
18561,02-May-22,RT1,24,33,1856144683RT1
18562,02-May-22,RT1,22,38,1856244683RT1
18563,02-May-22,RT1,14,27,1856344683RT1
19559,02-May-22,RT1,13,24,1955944683RT1
19561,02-May-22,RT1,20,36,1956144683RT1
17564,02-May-22,RT1,7,16,1756444683RT1
19562,02-May-22,RT2,15,23,1956244683RT2
18563,02-May-22,RT2,15,29,1856344683RT2
17561,02-May-22,RT2,23,36,1756144683RT2
17558,02-May-22,RT2,27,50,1755844683RT2
16562,02-May-22,RT2,21,43,1656244683RT2
16561,02-May-22,RT2,16,24,1656144683RT2
16558,02-May-22,RT2,14,22,1655844683RT2
19560,02-May-22,RT2,21,38,1956044683RT2
16563,02-May-22,RT2,23,38,1656344683RT2
16559,02-May-22,RT2,23,41,1655944683RT2
19559,02-May-22,RT2,19,41,1955944683RT2
19558,02-May-22,RT2,17,39,1955844683RT2
17559,02-May-22,RT2,26,39,1755944683RT2
16560,02-May-22,RT2,17,34,1656044683RT2
18562,02-May-22,RT2,17,34,1856244683RT2
18559,02-May-22,RT2,18,44,1855944683RT2
17563,02-May-22,RT2,28,44,1756344683RT2
17562,02-May-22,RT2,14,30,1756244683RT2
18558,02-May-22,RT2,14,30,1855844683RT2
